Project,Station_3
Location,Cerros UNI (Bajo Nuevo Tanque UNI)
Date,26/06/2025
Rock_Type,

Record_No,Distance_m,Structure_Type,Dip_Direction_degrees,Dip_degrees,Spacing_mm,Persistence_m,Termination,Aperture_mm,Infilling_Type,Infilling_Thickness,Roughness,Waviness,Weathering,Groundwater,Number_Joints,Observations
1,0,J,171,75,3,2,1,1,4,2,4,2,5,1,,
2,0.29,E,101,47,4,2,3,1,4,2,4,2,3,1,,
3,0.41,E,103,36,4,2,3,1,3,1,4,2,2,1,,
4,0.64,J,127,66,3,2,3,4,3,1,1,1,1,1,,
5,0.74,J,157,75,4,2,1,1,1,1,4,1,1,1,,
6,1.00,J,310,50,5,1,1,4,3,4,4,2,1,1,,
7,1.01,J,350,46,5,1,1,4,4,2,4,2,1,1,,
8,1.16,J,058,65,5,3,1,3,1,1,4,3,1,1,,
9,1.21,J,145,87,4,1,1,3,1,1,4,2,1,1,,
10,1.72,J,145,73,4,2,1,1,1,1,4,2,1,1,,
11,1.83,J,148,75,4,1,1,3,1,1,4,1,1,1,,
12,1.96,J,355,76,4,1,1,3,1,1,4,2,1,1,,
13,2.09,J,355,40,4,1,1,3,4,2,4,3,1,1,,
14,2.38,J,280,65,5,1,1,3,4,2,4,3,2,1,,
15,2.38,J,213,94,3,2,1,4,5,4,4,2,2,1,, 
