Project,Station_4
Location,Cerros UNI
Date,
Rock_Type,

Record_No,Distance_m,Structure_Type,Dip_degrees,Dip_Direction_degrees,Spacing_mm,Persistence_m,Termination,Aperture_mm,Infilling_Type,Infilling_Thickness,Roughness,Waviness,Weathering,Groundwater,Number_Joints,Observations
1,0.080,J,69,153,4,2,1,4,4,4,2,2,4,1,1,
2,0.130,J,81,143,4,2,1,4,4,4,3,3,4,1,1,
3,0.420,J,65,150,3,2,1,4,4,4,2,2,4,1,1,
4,0.110,J,77,174,4,2,1,3,4,4,3,3,4,1,1,
5,0.090,J,73,132,4,2,1,2,4,4,4,2,4,1,1,
6,0.240,J,82,144,3,3,1,2,4,4,4,2,4,1,1,
7,0.260,J,69,133,3,1,1,2,4,4,2,3,4,1,1,
8,0.180,J,39,124,4,2,1,4,4,4,3,1,4,1,2,
9,0.055,J,49,140,5,2,1,4,4,4,3,3,4,1,1,
10,0.090,J,61,136,4,2,1,4,4,4,4,2,4,1,1,
11,0.060,J,78,148,5,1,1,3,4,4,4,4,4,1,1,
12,0.060,J,72,150,4,3,1,3,4,4,3,2,4,1,2,
13,0.640,J,75,150,4,2,1,4,4,4,3,2,3,1,2,
14,0.000,J,71,144,4,3,1,4,4,5,4,1,3,1,2,
15,0.050,J,82,145,4,3,1,2,4,4,4,1,3,1,2, 
